17:03:28.318-[DESKTOP-44TL0F9][sys]-- INFO 9544 --- [           main] com.hui.info.InfoApplication             : The following 1 profile is active: "dev"
17:03:28.918-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/plugins/PropertyDiscriminatorBasedInheritancePlugin.class]
17:03:28.920-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/plugins/SchemaPluginsManager.class]
17:03:28.920-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/plugins/JsonIgnorePropertiesModelPlugin.class]
17:03:28.922-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/property/CachingModelPropertiesProvider.class]
17:03:28.922-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/property/ObjectMapperBeanPropertyNamingStrategy.class]
17:03:28.922-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/property/bean/AccessorsProvider.class]
17:03:28.923-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/property/field/FieldProvider.class]
17:03:28.924-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/property/OptimizedModelPropertiesProvider.class]
17:03:28.925-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/property/FactoryMethodProvider.class]
17:03:28.925-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/property/ModelSpecificationFactory.class]
17:03:28.927-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/CachingModelProvider.class]
17:03:28.928-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/DefaultModelDependencyProvider.class]
17:03:28.928-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/JacksonEnumTypeDeterminer.class]
17:03:28.928-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/DefaultModelProvider.class]
17:03:28.928-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-schema/3.0.0/springfox-schema-3.0.0.jar!/springfox/documentation/schema/DefaultModelSpecificationProvider.class]
17:03:28.943-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-swagger-common/3.0.0/springfox-swagger-common-3.0.0.jar!/springfox/documentation/swagger/schema/OpenApiSchemaPropertyBuilder.class]
17:03:28.943-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-swagger-common/3.0.0/springfox-swagger-common-3.0.0.jar!/springfox/documentation/swagger/schema/ApiModelPropertyPropertyBuilder.class]
17:03:28.943-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-swagger-common/3.0.0/springfox-swagger-common-3.0.0.jar!/springfox/documentation/swagger/schema/ApiModelTypeNameProvider.class]
17:03:28.943-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-swagger-common/3.0.0/springfox-swagger-common-3.0.0.jar!/springfox/documentation/swagger/schema/ApiModelBuilder.class]
17:03:28.945-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-swagger-common/3.0.0/springfox-swagger-common-3.0.0.jar!/springfox/documentation/swagger/readers/operation/OperationImplicitParameterReader.class]
17:03:28.946-[DESKTOP-44TL0F9][sys]--DEBUG 9544 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-swagger-common/3.0.0/springfox-swagger-common-3.0.0.jar!/springfox/documentation/swagger/readers/operation/VendorExtensionsReader.class]
